,magnitude,min_diameter,max_diameter,speed,miss_distance,target
(2008 AF3),26.1,16.0160337979,35.8129403019,5.416967072,31091355.37883696,0.0
(2020 JS1),26.0,16.7708462163,37.5007521798,5.0240674567,2352836.903015777,0.0
152978 (2000 GJ147),19.57,324.0074353942,724.5026507569,13.7719898494,29825765.98429081,1.0
438955 (2010 LN14),21.01,166.9379117726,373.2845187454,22.8697948313,25823565.56234817,1.0
(2001 VC2),21.29,146.7421833608,328.1254971615,10.4753162309,14900747.035346108,1.0
152756 (1999 JV3),18.99,423.2090796502,946.324270793,15.1643455783,15064698.67478086,0.0
65909 (1998 FH12),19.3,366.9061375314,820.4270648822,11.74240424,45700962.515191495,1.0
162470 (2000 KX43),19.24,377.185489265,843.412394123,19.0360136624,31957196.63063358,0.0
349928 (2009 WD106),18.47,537.7184976927,1202.3751135999,19.2340408893,41128627.53835004,0.0
415711 (1998 WT7),19.08,406.0270582797,907.9041030176,20.4663165531,22877097.35859679,0.0
(2004 TE10),24.2,38.4197891064,85.9092601232,23.1328673692,24423254.31424352,0.0
472263 (2014 RP12),18.31,578.8352574915,1294.3149835245,21.0947820691,18780454.943932243,0.0
497135 (2004 QD20),18.09,640.5528629449,1432.3197447269,20.2639280701,30840235.40836167,0.0
(2003 KW16),20.1,253.8370293645,567.5968528656,21.9876224836,28697873.001208425,0.0
(2007 KE),22.5,84.0533402073,187.9489824394,22.640836269,29981298.941721465,0.0
612552 (2003 KW16),20.22,240.1900301154,537.0812348557,21.9876284495,28697873.76344604,0.0
285567 (2000 OM),18.51,527.9040290336,1180.4292945151,13.5197869269,32289488.920134768,0.0
388838 (2008 EZ5),19.62,316.6321257337,708.0109570008,7.6031485364,11902825.52485206,0.0
4450 Pan (1987 SY),17.28,930.1542539614,2079.8881414182,19.1835474168,39181678.86230216,1.0
267494 (2002 JB9),16.18,1543.6718217716,3451.7551284323,35.242814241,14689717.39811456,1.0
(2011 JX1),18.0,667.6594134952,1492.931834393,33.4745756509,40923991.9127121,0.0
549459 (2011 JX1),17.99,670.7411893253,1499.8228946405,33.4745670712,40923959.26663304,0.0
106589 (2000 WN107),16.02,1661.7090173978,3715.6943217258,22.36960357,35278774.15767403,0.0
(2004 XJ),24.0,42.1264610556,94.1976305719,10.5839403677,25274293.590246864,0.0
(2006 XJ1),21.39,140.1376971662,313.3574170739,9.8278070583,43801786.523565374,0.0
137199 (1999 KX4),16.98,1067.9599752365,2388.0311018778,10.4825288118,25667910.30296356,0.0
419624 (2010 SO16),20.44,217.0475943071,485.3331752235,13.2678505697,29299493.08193653,1.0
(2001 XP),20.8,183.8886720703,411.1875710413,22.1789350345,30643284.309067626,0.0
(2002 XQ40),22.38,88.8290416389,198.6277754808,9.4033014155,5244003.782888154,0.0
(2005 YO128),24.6,31.9561886721,71.4562101727,17.2379570951,42080364.881548375,0.0
66391 Moshup (1999 KW4),16.64,1248.9785406727,2792.8009193826,24.6307753196,14857056.319233213,1.0
(2007 MG),21.22,151.5496635722,338.8753497147,13.7125080672,28188258.959828086,0.0
(2009 KY1),23.7,48.3676488219,108.1533506775,16.9839666602,37290462.611274734,0.0
141052 (2001 XR1),17.49,844.4131279787,1888.1651552536,21.3294535062,44906609.94851304,0.0
(2000 YS134),24.02,41.7402433392,93.3340215038,9.1429915566,29226119.057865497,0.0
(2001 TA2),22.0,105.8168859331,236.6137501138,16.3341875457,31809465.92807512,1.0
(2002 TZ66),25.9,17.561231848,39.2681081809,6.358091218,20519704.40336596,0.0
(2005 VY3),20.15,248.0589931518,554.6767711177,17.1354842854,26895564.107735787,0.0
(2010 LK34),21.91,110.2947845322,246.6266357777,41.0348375191,41161759.91571633,1.0
(2005 UG5),24.3,36.6906137531,82.0427064882,10.147677148,15947636.181800976,0.0
175189 (2005 EC224),18.29,584.1911541862,1306.2911326144,1.7834889444,27517248.47609507,0.0
(2006 XP4),23.9,44.1118199997,98.6370281305,8.5306654303,27579742.76672025,0.0
136795 Tatsunokingo (1997 BQ),18.11,634.6802389983,1419.1881583761,11.6761220558,3825562.164809424,1.0
396730 (2003 KX16),18.53,523.0641758041,1169.6070536928,14.1424394232,45820818.244155,0.0
433992 (2000 HD74),18.04,655.4732558369,1465.6827574844,26.6235884904,25708399.119156465,0.0
(2008 JV2),24.7,30.5179232594,68.2401509401,16.668873832,28388470.39106177,0.0
369452 (2010 LG14),17.89,702.3522476962,1570.5073699984,20.9259743985,41825766.51410815,0.0
520585 Saci (2014 OA2),21.49,133.8304618158,299.2540100804,3.4050778087,42790469.76072408,0.0
(2002 FW1),24.53,33.0031183358,73.7972160683,7.9851447677,10617107.061773546,0.0
331471 (1984 QY1),15.57,2044.3487102818,4571.3026859041,26.420788278,29118700.629833184,0.0
478784 (2012 UV136),25.6,20.1629919443,45.0858206172,3.5651145757,2020105.8899970148,0.0
(2008 NP3),22.83,72.2029557657,161.4507172686,8.4451226107,30407576.86671058,0.0
(2009 WZ7),19.8,291.4439045349,651.6883821679,26.5552925034,15148341.22928214,0.0
613995 (2008 NP3),22.83,72.2029557657,161.4507172686,8.445122594,30407576.86671058,0.0
(2000 KA),21.75,118.7284987937,265.4849941693,13.498122588,2111121.866350665,1.0
(2003 FY6),22.61,79.9015081239,178.6652036697,21.2838390341,21270711.194336426,0.0
(2009 YR),28.0,6.676594135,14.9293183439,4.6641455463,15625774.797931952,0.0
318050 (2004 FC32),18.86,449.3191996308,1004.7082739702,5.5209146048,38589889.09974363,0.0
(2019 YS4),19.9,278.3267680719,622.3575733667,21.5704975432,43267336.522051215,0.0
620000 (2019 YS4),19.95,271.9912773482,608.1909854376,21.570493761,43267342.90811509,0.0
159929 (2005 UK),17.72,759.5475664291,1698.3999906799,28.6925353165,26328782.20848313,0.0
(2003 UG22),21.2,152.9519353442,342.0109247198,10.8163121536,30810314.60761477,0.0
(2009 QC36),22.21,96.0627414896,214.8028200758,7.8969065057,9102002.727471989,0.0
(2000 HO40),22.3,92.1626548503,206.0819612321,10.4458303648,11284974.235631095,0.0
(2005 JR5),22.1,101.054341542,225.9643771094,19.8324020779,25186046.50707769,0.0
(2010 FC6),20.23,239.0864571707,534.6135707332,16.5359814859,43257860.58859642,0.0
85184 (1991 JG1),18.41,552.7833794322,1236.0612132424,17.3170069083,13943429.062447814,0.0
(2005 GZ110),22.74,75.2583992483,168.2828965971,8.3826400753,12137168.738504669,0.0
(2006 YF),21.05,163.8909514948,366.4713084395,8.4897364333,9259787.725214604,0.0
228368 (2000 WK10),18.63,499.5224099063,1116.966064835,17.3363927516,35244844.31244806,1.0
438908 (2009 XO),20.63,198.8634532359,444.6721996757,12.7810589171,2108694.39984162,1.0
(2003 HT42),24.8,29.1443904535,65.1688382168,19.6556477603,41749152.22725599,0.0
(2007 KV2),24.6,31.9561886721,71.4562101727,8.5529340404,12612463.60785677,0.0
(2000 UR16),23.9,44.1118199997,98.6370281305,19.1268712987,43802799.02609107,0.0
(2007 HD15),24.16,39.1340663147,87.5064325156,18.7867719016,35611074.757424265,0.0
(2008 DB),25.8,18.388867207,41.1187571041,6.5599999691,27921358.08667096,0.0
387733 (2003 GS),18.98,425.1625240058,950.6923051623,19.4262510273,43517363.00690264,0.0
188174 (2002 JC),17.44,864.0820364505,1932.1461716397,33.2958867283,45173960.19792312,0.0
(2005 TC51),27.3,9.216265485,20.6081961232,6.4461657763,10631047.485974496,0.0
(2010 GL23),22.8,73.2073989347,163.696720474,8.8763614213,39774312.00359292,0.0
(2010 PW58),21.7,121.4940407996,271.6689340891,12.8159577814,30952650.341104608,1.0
(2010 KD149),21.48,134.4481951604,300.6353038309,12.8159707448,30952690.08900725,1.0
86667 (2000 FO10),17.54,825.1919385245,1845.1852690256,14.1956101143,23242292.396736704,0.0
388945 (2008 TZ3),20.46,215.0576900016,480.8836139277,8.7764879288,1735675.438831139,1.0
495615 (2015 PQ291),17.71,763.0534787022,1706.2394488457,17.3203654767,18605920.84371923,0.0
523609 (2005 PJ2),19.53,330.0311833581,737.9721606833,34.2634128015,45869852.37604652,1.0
(2006 WE4),18.9,441.1181999969,986.3702813054,10.5961219668,45496740.92400906,0.0
613676 (2006 WE4),18.82,457.6726672313,1023.3871953728,10.5961205814,45496740.55218584,0.0
(2009 HU77),23.4,55.5334911581,124.1766612574,12.8504388891,14667269.742208716,0.0
(2010 DJ1),26.9,11.0803882126,24.7765012606,18.4732573573,33479187.400615457,0.0
152564 (1992 HF),19.63,315.1773332628,704.7579421428,31.8415701964,44564266.78460136,0.0
539940 (2017 HW1),18.01,664.5917971389,1486.0724356914,18.9468447647,15676490.24007775,0.0
(2005 QP87),27.7,7.6657557353,17.1411509231,4.7057830408,29613714.07487836,0.0
137099 (1998 YW3),18.29,584.1911541862,1306.2911326144,21.0541991111,41345044.32706693,0.0
394783 (2008 HD3),19.8,291.4439045349,651.6883821679,24.4892275614,27437471.48878629,0.0
(2005 TS15),21.03,165.407415798,369.8622257068,29.7251511112,45499793.12789908,1.0
(2005 UV64),26.4,13.9493822934,31.1917670523,4.6287785277,12289998.178569198,0.0
545274 (2011 FZ2),17.48,848.3107618858,1896.8805296212,31.2346925447,28717185.22059557,0.0
(2002 JQ100),19.8,291.4439045349,651.6883821679,16.2895957421,43064693.7387558,0.0
(2006 CN10),21.23,150.8533561176,337.3183589129,13.9823192873,30017288.641130485,0.0
(2013 HT15),21.7,121.4940407996,271.6689340891,26.1635661849,39647645.70947796,1.0
551685 (2013 HT15),21.82,114.9621762891,257.0632410238,26.1635717253,39647662.45081861,1.0
612362 (2002 JQ100),19.86,283.501249023,633.9280645215,16.2895953559,43064696.96432226,0.0
52768 (1998 OR2),16.04,1646.4743775541,3681.6286314226,8.7015846208,3908651.325510843,1.0
(2002 XU4),21.98,106.7959975236,238.8031101878,6.1949348765,30673588.18069104,0.0
415949 (2001 XY10),19.37,355.267088298,794.4013596028,21.945224932,42945827.264070906,0.0
(2000 WC1),22.52,83.2827345523,186.225855811,13.0417019689,26407204.99701893,1.0
(2007 VK3),21.9,110.8038821264,247.7650126055,14.1522778734,33307484.12074488,0.0
(2008 EZ7),27.0,10.5816885933,23.6613750114,13.7015679846,23784904.382796686,0.0
403775 (2011 HS4),20.9,175.6123184804,392.6810818086,25.5785115556,16818873.2764508,1.0
436325 (2010 GR7),18.35,568.2703233897,1270.6910726951,37.3576747799,41060601.03870424,0.0
519354 (2011 KR12),21.48,134.4481951604,300.6353038309,10.1317296943,35134365.54689272,0.0
(2002 VR85),20.3,231.5021222103,517.6544821978,14.4294087252,6378907.790317638,1.0
(2006 HV50),23.6,50.6471458835,113.2504610618,19.9458733387,39445591.95923841,0.0
(2020 OB6),24.9,27.8326768072,62.2357573367,2.5708827685,6244620.040373153,0.0
(2003 YL118),21.6,127.2198785394,284.4722965033,10.5042256629,46422771.70158576,1.0
(2004 HH33),20.79,184.7374636151,413.0855266343,15.5637514717,43447098.60552297,0.0
(2007 UW1),22.7,76.6575573531,171.4115092306,6.5959461549,17271493.110700004,0.0
(2008 EA9),27.7,7.6657557353,17.1411509231,1.2962693192,6795645.391365137,0.0
(2003 BM4),24.95,27.1991277348,60.8190985438,8.9950389042,24074720.795613594,0.0
(2009 FY29),20.09,255.0086878569,570.2167609011,16.3442899448,33816567.031240895,0.0
(2010 JJ3),23.7,48.3676488219,108.1533506775,10.4646944964,3035802.693234715,0.0
186823 (2004 FN32),19.12,398.6162292765,891.332985597,34.0180862851,39421881.80546222,0.0
395207 (2010 HQ80),19.62,316.6321257337,708.0109570008,22.2101179061,10834806.3710414,1.0
(2009 DD45),25.8,18.388867207,41.1187571041,12.5414837375,32080358.89057232,0.0
192563 (1998 WZ6),17.34,904.8049682253,2023.2054153312,13.199452963,38718258.771821216,1.0
482566 (2012 WK4),21.51,132.6034967669,296.5104328249,5.2823509005,29141748.04589492,0.0
497025 (2003 QW30),20.7,192.5550781879,430.566244241,15.3218005666,19286391.709400702,0.0
436324 (2010 GZ6),19.44,343.9972546574,769.2012454873,22.0689098249,28873736.415925145,0.0
(2008 TF),21.89,111.3153296083,248.908643942,22.1076467059,43047350.45347786,0.0
3360 Syrinx (1981 VA),16.04,1646.4743775541,3681.6286314226,37.0182389106,44657647.52877291,0.0
137064 (1998 WP5),18.84,453.476698997,1014.0047251696,10.1330245773,23410459.033534303,0.0
363599 (2004 FG11),21.04,164.6474377554,368.1628631423,24.4908687449,4573879.112212828,1.0
6239 Minos (1989 QF),18.61,504.1444338579,1127.3012245845,12.8383009758,29610695.76267521,1.0
413989 (2007 EL88),19.07,407.9011940281,912.0947979501,19.8276160571,11514999.838006614,1.0
468910 (2014 KQ76),21.67,123.1841912659,275.4482254239,10.2543485623,10340819.344006078,1.0
515446 (2013 UG5),20.39,222.1032822459,496.6380371276,12.0302616774,44683317.26530423,0.0
(2000 EM26),22.51,83.6671501888,187.0854353059,9.9067502075,17145852.918545153,0.0
88959 (2001 TZ44),17.45,860.111940119,1923.2687663652,28.7110040099,32372501.06695092,0.0
469219 Kamo`oalewa (2016 HO3),24.33,36.1871996599,80.917038355,4.0467169299,14498708.508014644,0.0
482718 (2013 ET9),21.1,160.1603379786,358.1294030194,14.1060702281,30342626.534961585,0.0
(2007 HL4),24.1,40.2304579834,89.9580388169,4.3682030713,6136528.491462849,0.0
(2005 HN3),21.2,152.9519353442,342.0109247198,12.2514444281,13799986.773747772,0.0
(2014 HO4),19.3,366.9061375314,820.4270648822,22.5578093025,40823149.7640178,0.0
612970 (2005 HN3),21.23,150.8533561176,337.3183589129,12.2514444391,13799986.783043353,0.0
620078 (2014 HO4),19.28,370.3010782229,828.0183830478,22.557809774,40823147.44941823,0.0
138847 (2000 VE62),17.07,1024.6014746756,2291.0785472212,13.3277685115,43707341.881603,0.0
401954 (2002 RW25),18.89,443.1543090961,990.9231596608,11.5163614287,34784465.40129856,1.0
436030 (2009 JO2),19.44,343.9972546574,769.2012454873,13.2295645264,14729974.326753816,0.0
508967 (2004 VC17),18.49,532.7886648737,1191.3516722989,22.4875027991,36878828.19102084,1.0
522684 (2016 JP),21.13,157.96285576,353.2156833994,10.2294121585,8723661.19137459,1.0
(1999 DB2),19.0,421.2646105562,941.9763057186,7.2089065011,25666616.3302573,0.0
(2010 UE7),19.3,366.9061375314,820.4270648822,16.1044027744,24381608.30981288,0.0
620067 (2010 UE7),19.32,363.5423218434,812.9053443399,16.1044028094,24381608.170379173,0.0
462959 (2011 DU),21.11,159.4244680687,356.4839478784,22.7208814068,40840071.16007462,1.0
(1994 GL),25.5,21.113244479,47.2106498806,9.2162393733,2535830.232555472,0.0
85628 (1998 KV2),17.3,921.6265485028,2060.8196123208,6.0259078784,43703553.61645876,0.0
(1994 WR12),22.4,88.0146520901,196.8067450894,11.9830077792,40039805.55373396,0.0
(2006 CL9),22.8,73.2073989347,163.696720474,13.6528223505,35444998.00883065,0.0
(2001 SG286),21.0,167.7084621628,375.0075217981,6.5095112209,44929568.06193195,1.0
612267 (2001 SG286),20.91,174.8054531691,390.8768761237,6.5095109472,44929568.06193195,1.0
65690 (1991 DG),19.06,409.783980394,916.3048362514,8.8832860273,7856121.478977477,1.0
(2001 GS2),20.49,212.1069878758,474.2856433931,10.7697638626,12685572.456900032,0.0
(2003 XV),26.7,12.14940408,27.1668934089,20.5121973843,27973149.22269936,0.0
(2006 RJ1),22.27,93.4447650924,208.9488468882,11.8599525539,31211358.76809829,0.0
(2007 YS56),25.7,19.2555078188,43.0566244241,6.0116043198,18769496.90451541,0.0
613471 (2006 RJ1),22.27,93.4447650924,208.9488468882,11.8599523937,31211358.535708778,0.0
525498 (2005 GE60),22.12,100.1278697699,223.8927232478,5.6926277905,15999729.163922628,0.0
526898 (2007 HR),20.65,197.0402621378,440.5954204445,38.6403549931,42899545.22824973,0.0
(2005 SH26),20.7,192.5550781879,430.566244241,15.3833718831,21281618.43340528,0.0
(2008 YZ32),20.1,253.8370293645,567.5968528656,26.1893083825,30760280.847576693,0.0
(2010 HW81),20.24,237.9879546831,532.1572444975,26.0973747225,11382504.582755968,0.0
(2022 BD3),20.227,239.4169955933,535.3526771154,26.1871092645,11334915.077045498,0.0
614316 (2008 YZ32),20.25,236.8944993559,529.7122040557,26.1893231005,30760273.07647132,0.0
(2005 SQ),20.2,242.4124811008,542.0507863358,11.7399536075,18660934.38571844,1.0
619106 (2005 SQ),20.11,252.6707541538,564.9889822141,11.7399527797,18660933.493342698,1.0
252793 (2002 FW5),19.26,373.7274319137,835.6799428155,25.3681244453,34328996.12765897,0.0
330659 (2008 GG2),22.99,67.0741189325,149.9822894641,7.1640038198,13531676.551137963,0.0
(2004 QZ1),20.7,192.5550781879,430.566244241,28.4922970009,23361630.20383592,0.0
308635 (2005 YU55),21.91,110.2947845322,246.6266357777,25.9420110207,38072931.17786607,1.0
6047 (1991 TB1),17.84,718.7121331801,1607.0891860447,21.6639438748,35743800.81264563,0.0
85953 (1999 FK21),18.15,623.096019112,1393.285055244,32.5810847421,35090717.032715745,0.0
304293 (2006 SQ78),18.76,470.4949611208,1052.0587161372,24.7433784061,25769902.32427366,0.0
(2020 QO4),22.05,103.4081995395,231.2277636011,14.9361012631,28058954.43120956,0.0
(2010 GD35),24.62,31.6632125734,70.8010957001,12.0194758128,3632455.317941574,0.0
106538 (2000 WK63),16.28,1474.1951450421,3296.4005564144,22.5833114444,39315511.41696023,0.0
164222 (2004 RN9),20.85,179.7028548592,401.8277992159,10.0448291229,45905098.36393847,0.0
(2002 RR25),21.09,160.8996045096,359.7824532363,12.4726088909,27014750.9824928,0.0
(2007 TJ19),20.8,183.8886720703,411.1875710413,19.8794209852,37850007.984690525,0.0
612443 (2002 RR25),21.06,163.1379409728,364.7875257245,12.472599166,27014734.705931168,0.0
138947 (2001 BA40),18.82,457.6726672313,1023.3871953728,12.545167738,24776870.340295784,0.0
458452 (2011 BR15),19.77,295.4982931114,660.7542706324,7.1286116951,18540439.065036166,0.0
(2000 WP19),22.7,76.6575573531,171.4115092306,6.3802790733,24208546.97350339,0.0
